Operation,Time Taken
BST_Insert_100,0.00015323100590401074
BST_Insert_1000,0.0018553900855212387
BST_Insert_10000,0.07148220454109833
BST_Insert_100000,0.41647069299572403
BST_Insert_1000000,7.816839409002569
BST_Search_10,4.894002234901894e-06
BST_Search_100,4.074999808587811e-05
BST_Search_1000,0.0005697159953838723
BST_Search_10000,0.00699209073420868
BST_Search_100000,0.09132610608834181
BST_Delete_10,2.214399864897132e-05
BST_Delete_100,0.0001552236366974698
BST_Delete_1000,0.0020162423633419994
BST_Delete_10000,0.023800814272941683
BST_Delete_100000,0.263048852275295
AVL_Insert_100,0.00041845835353755814
AVL_Insert_1000,0.005082261364970525
AVL_Insert_10000,0.06999927273136564
AVL_Insert_100000,1.0411798069121274
AVL_Insert_1000000,17.178475704636764
AVL_Search_10,7.992181715301491e-06
AVL_Search_100,6.38978195969354e-05
AVL_Search_1000,0.0009057387280997566
AVL_Search_10000,0.012720329631437462
AVL_Search_100000,0.17234474999713711
AVL_Delete_10,5.4947089996527545e-05
AVL_Delete_100,0.0005295794531279666
AVL_Delete_1000,0.006689424269345843
AVL_Delete_10000,0.08299887100160545
AVL_Delete_100000,1.004034753719514
SkipList_Insert_100,0.00032904545713046735
SkipList_Insert_1000,0.003523022727511654
SkipList_Insert_10000,0.04455378408734263
SkipList_Insert_100000,0.8959172461869788
SkipList_Insert_1000000,15.376121617361521
SkipList_Search_10,3.562490879134698e-05
SkipList_Search_100,0.00023948109116066587
SkipList_Search_1000,0.0026396248193288393
SkipList_Search_10000,0.03336049618718045
SkipList_Search_100000,0.36831715154271066
SkipList_Remove_10,5.5749913868071005e-05
SkipList_Remove_100,0.00031457973157309675
SkipList_Remove_1000,0.002983731180641123
SkipList_Remove_10000,0.03288658308817751
SkipList_Remove_100000,0.3798992083624894
