Operation,Time Taken
BST_Insert_100,0.011070185634625059
BST_Insert_1000,0.004552909085759893
BST_Insert_10000,0.05646521218427965
BST_Insert_100000,0.4347927084573629
BST_Insert_1000000,7.884937560542974
BST_Search_10,6.291726921600374e-06
BST_Search_100,4.812117814171043e-05
BST_Search_1000,0.0006719205438540401
BST_Search_10000,0.007152806819331917
BST_Search_100000,0.09996557200264017
BST_Delete_10,2.2961998845196582e-05
BST_Delete_100,0.0001290340944912962
BST_Delete_1000,0.0019628862739244305
BST_Delete_10000,0.02725628027374941
BST_Delete_100000,0.33607407972819847
AVL_Insert_100,0.00039009463613514197
AVL_Insert_1000,0.005246829545781525
AVL_Insert_10000,0.07188018945320933
AVL_Insert_100000,1.0683410110968081
AVL_Insert_1000000,17.008271833360514
AVL_Search_10,6.518911422145638e-06
AVL_Search_100,7.405681588517672e-05
AVL_Search_1000,0.0010291857258628377
AVL_Search_10000,0.012559894091365013
AVL_Search_100000,0.16367212882455948
AVL_Delete_10,4.36476362996142e-05
AVL_Delete_100,0.0005217272767119787
AVL_Delete_1000,0.006834768999727781
AVL_Delete_10000,0.08435470846068877
AVL_Delete_100000,1.0099228069964077
SkipList_Insert_100,0.00034020082305439496
SkipList_Insert_1000,0.003691041641021994
SkipList_Insert_10000,0.04538501890122213
SkipList_Insert_100000,0.9113017991873097
SkipList_Insert_1000000,15.54900688627756
SkipList_Search_10,3.1128628920255736e-05
SkipList_Search_100,0.00030581062839535826
SkipList_Search_1000,0.003262026455062865
SkipList_Search_10000,0.03701173481584357
SkipList_Search_100000,0.4228644849129275
SkipList_Remove_10,4.1492452675646e-05
SkipList_Remove_100,0.0002689319107131186
SkipList_Remove_1000,0.0028216664557641543
SkipList_Remove_10000,0.032911644089670684
SkipList_Remove_100000,0.4231721628139811
